Total number of models to train: 16
[2025-02-05 13:25:51.990704] START TRAINING: Model-0 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
[2025-02-05 13:25:51.995929] START TRAINING: Model-1 on GPU 1, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 3}
[2025-02-05 13:25:52.345207] START TRAINING: Model-2 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 3, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
[2025-02-05 13:25:52.345867] START TRAINING: Model-3 on GPU 1, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 3, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 3}
[2025-02-05 13:25:52.372964] START TRAINING: Model-4 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 3, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
[2025-02-05 13:25:52.373355] START TRAINING: Model-5 on GPU 1, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 3, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 3}
[2025-02-05 13:25:52.397037] START TRAINING: Model-6 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 3, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 3, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
[2025-02-05 13:25:52.397536] START TRAINING: Model-7 on GPU 1, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 2, 'encoder_d_ff': 128, 'encoder_sublayers': 3, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 3, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 3}
[2025-02-05 13:25:52.464360] START TRAINING: Model-8 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 3, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
[2025-02-05 13:25:52.466645] START TRAINING: Model-9 on GPU 1, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 3, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 2, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 3}
[2025-02-05 13:25:52.485471] START TRAINING: Model-10 on GPU 0, params={'num_targets': 1, 'num_aux_feats': 4, 'd_model': 32, 'encoder_layers': 3, 'encoder_d_ff': 128, 'encoder_sublayers': 2, 'encoder_h': 8, 'encoder_dropout': 0.1, 'decoder_layers': 3, 'decoder_dropout': 0.1, 'decoder_h': 8, 'decoder_d_ff': 128, 'decoder_sublayers': 2}
